Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Moldova,MDA,"Internally displaced persons, total displaced by conflict and violence (number of people)",VC.IDP.TOCV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,MDA,Voice and Accountability: Standard Error,VA.STD.ERR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23647669,,0.214446098,,0.184215844,,0.159583583,0.154870942,0.1537496,0.15583013,0.138436943,0.130854413,0.132598445,0.136382774,0.132860422,0.133806169,0.122685753,0.12234851,0.130186707,0.132783607,0.122639515,0.124017768,0.126422212,0.12086717,0.128101304,0.130445644,0.124169022
Moldova,MDA,Voice and Accountability: Number of Sources,VA.NO.SRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,6,,7,,8,9,10,11,12,13,13,12,13,13,14,13,11,10,12,12,12,11,9,9,10
Moldova,MDA,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.842388971,9.704815699,7.418534795,5.132547013,2.76672881,5.339084,4.607808404,3.483887491,5.393474718,2.51881364,2.961304894,2.239086429,2.236947407,2.140180394
Moldova,MDA,Export value index (2015 = 100),TX.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.87878789,40.42098841,44.48850924,32.03172667,23.64246491,23.99837299,28.87939802,32.74354282,40.16676836,50.09014642,55.47081553,53.46761235,68.2223917,80.91397193,65.23189953,78.37536099,112.7110026,109.9196664,123.4645109,118.9495627,100,103.955664,123.2967256,137.588977,141.3056742,125.4372585,159.8688224,
Moldova,MDA,Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports),TX.VAL.MRCH.R6.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017686594,0.040241449,0.019165303,0.047201238,0.015028821,0.136006891,0.027661675,0.058121251,0.185772523,0.08434796,0.045584848,0.12654806,0.12890732,0.095959689,0.321775998,0.18313219,0.203757504,0.099929524,0.153019776,0.213027362,0.118843048,0.233632993,0.154186241,0.200955617,0.570693869,0.329238436,0.48364544,,
Moldova,MDA,Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports),TX.VAL.MRCH.R2.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.10638298,66.80994044,73.9122745,67.16297787,71.1605069,71.40607016,69.12241813,56.61846258,59.85793886,62.06850233,55.80734075,55.47211866,52.90692045,53.60219364,44.6721838,46.15226165,43.6404893,43.05170236,47.34126239,47.18536989,48.39079445,46.68380427,39.16700403,30.68428196,28.17175079,28.0083576,22.33580258,25.42858948,25.86781113,,
Moldova,MDA,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470000000,483000000,565000000,745000000,795000000,875000000,630000000,465000000,472000000,568000000,644000000,790000000,985000000,1091000000,1052000000,1342000000,1591000000,1283000000,1541000000,2217000000,2162000000,2428000000,2340000000,1967000000,2045000000,2425000000,2706000000,2779000000,2467000000,3144000000,4335000000
Moldova,MDA,Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.179102658,11.64187443,1.87820699,0.891222073,2.373516552,2.014234875,1.333333333,1.819388376,1.312502838,1.085377971,0.671688467,0.874101553,0.940329696,0.876679469,0.899943161,0.8407798,0.667786308,0.733156232,0.520886424,0.620752152,0.664490873,0.647249191,0.564225574,0.400326797,0.389414564,0.303224485,0.347047299,0.375860045,0.337981894
Moldova,MDA,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.429387963,1.76628761,1.567478278,1.65696902,1.28742826,2.203189535,3.140619741,2.076765922,3.025452077,5.028707789,5.912742342,0.726608683,1.045313008,1.414732502,0.804652502,0.660984529,1.041536607,1.038508974,0.760311415,0.684839854,0.810171226,0.95102887,0.835354102,0.644148718,0.642647895,0.494984044,0.424145349,0.483987862,0.380140346
